ct_pma_id,nct_id,pma_number,supplement_number
86099,NCT00856856,P150023,NULL
86100,NCT01425281,P150023,NULL
86101,NCT01751906,P150023,NULL
86102,NCT01844284,P150023,NULL
86103,NCT02173379,P150023,NULL
86104,NCT02229864,P150023,NULL
86105,NCT01766037,P150024,NULL
86106,NCT01673867,P150025,NULL
86107,NCT00958165,P150026,NULL
86108,NCT01456000,P150026,NULL
86109,NCT01844505,P150027,NULL
86110,NCT00552812,P150028,NULL
86111,NCT01278303,P150028,NULL
86112,NCT01221948,P150031,NULL
86113,NCT02004873,P150033,NULL
86114,NCT01373580,P150034,NULL
86115,NCT01700244,P150035,NULL
86116,NCT01700439,P150036,NULL
86117,NCT01085357,P150037,NULL
86118,NCT01827904,P150038,NULL
86119,NCT01258972,P150039,NULL
86120,NCT01638390,P150040,NULL
86121,NCT02235870,P160001,NULL
86122,NCT02108652,P160002,NULL
86123,NCT02302807,P160002,NULL
86124,NCT01612767,P160003,NULL
86125,NCT00961311,P790017,S105
86126,NCT01272271,P870024,S049
86127,NCT00433654,P890003,S252
86128,NCT00980057,P890003,S253
86129,NCT00980057,P890003,S309
86130,NCT01110915,P890003,S252
86131,NCT01751022,P890003,S309
86132,NCT01060670,P900033,S042
86133,NCT00916929,P910023,S270
86134,NCT01230060,P910056,S010
86135,NCT00967473,P930014,S045
86136,NCT01663363,P930016,S044
86137,NCT01755143,P930039,S107
86138,NCT00526058,P940016,S013
86139,NCT00336284,P950037,S068
86140,NCT00508391,P950037,S067
86141,NCT01761162,P950037,S132
86142,NCT01791127,P950037,S156
86143,NCT00056563,P960009,S060
86144,NCT00101933,P960009,S068
86145,NCT00101933,P960009,S219
86146,NCT00354133,P960009,S229
86147,NCT01070069,P960043,S081
86148,NCT01616576,P960058,S100
86149,NCT02239263,P970051,S123
86150,NCT00279279,P980016,S164
86151,NCT00567190,P980018,S015
86152,NCT01041404,P980018,S010
86153,NCT00211510,P980022,S071
86154,NCT00865345,P980022,S074
86155,NCT00508391,P980023,S036
86156,NCT00433654,P980035,S277
86157,NCT01110915,P980035,S277
86158,NCT00747227,P980040,S035
86159,NCT01098812,P980040,S039
86160,NCT01714635,P980040,S049
86161,NCT02203721,P980040,S065
86162,NCT00479687,P980044,S024
86163,NCT02110238,P980044,S027
